==24727== NVPROF is profiling process 24727, command: ./test
==24727== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==24727== Profiling application: ./test
==24727== Profiling result:
==24727== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"l2_atomic_transactions","L2 Transactions (Atomic requests)",0,0,0
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"ecc_transactions","ECC Transactions",0,0,0
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"ecc_throughput","ECC Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",19.982297%,20.104254%,20.043275%
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",0.001065%,0.001094%,0.001079%
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",17.647105%,17.680124%,17.663614%
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"flop_dp_efficiency","FLOP Efficiency(Peak Double)",0.000000%,0.000000%,0.000000%
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"stall_memory_throttle","Issue Stall Reasons (Memory Throttle)",0.775674%,0.776950%,0.776312%
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"stall_not_selected","Issue Stall Reasons (Not Selected)",16.728382%,16.853210%,16.790796%
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",11.540594,11.639909,11.590251
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"atomic_throughput","Atomic Throughput",0.000000B/s,0.000000B/s,0.000000B/s
