==3066== NVPROF is profiling process 3066, command: ./untiled
==3066== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==3066== Profiling application: ./untiled
==3066== Profiling result:
==3066== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"l2_subp3_read_sysmem_sector_queries",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"l2_subp0_write_sysmem_sector_queries",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"l2_subp1_write_sysmem_sector_queries",0,4,1
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"l2_subp2_write_sysmem_sector_queries",0,1,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"l2_subp3_write_sysmem_sector_queries",0,5,2
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"l2_subp0_total_read_sector_queries",146256068,146280121,146272973
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"l2_subp1_total_read_sector_queries",146180978,146190032,146185474
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"l2_subp2_total_read_sector_queries",146264850,146277541,146270880
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"l2_subp3_total_read_sector_queries",146165437,146174121,146168987
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"l2_subp0_total_write_sector_queries",6078499,6093047,6086512
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"l2_subp1_total_write_sector_queries",5983695,6015794,5995124
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"l2_subp2_total_write_sector_queries",6076168,6094809,6084109
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"l2_subp3_total_write_sector_queries",5973549,5980067,5976546
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"elapsed_cycles_sm",543566541,545872593,544435902
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"gld_inst_8bit",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"gld_inst_16bit",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"gld_inst_32bit",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"gld_inst_64bit",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"gld_inst_128bit",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"gst_inst_8bit",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"gst_inst_16bit",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"gst_inst_32bit",132651000,132651000,132651000
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"gst_inst_64bit",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"gst_inst_128bit",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_gld_inst_8bit",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_gld_inst_16bit",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_gld_inst_32bit",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_gld_inst_64bit",0,0,0
